;context;emotion
2543;i can recall feelings of the time we were in coolum whilst laying in my own bed the other day and it s funny how he s calling me and we are speaking everyday now;surprise
2608;i feel absolutely amazed at the unfolding story of my life;surprise
2611;im here today after looking at my bank account this morning and feeling shocked;surprise
2618;i feel weird if i just do completely nothing;surprise
2655;i feel very weird about so much of my psychological safety coming from noah providing money;surprise
2711;i wanted to follow a set of food rules and feel amazing or party hard and suffer the consequences;surprise
2713;i just feel overwhelmed thinking about it;surprise
2753;i drove to pay her for the snack she was looking at me wearily and i was feeling dazed by what just had happened and felt a confidence that is unusual and rare;surprise
2822;i am overly passionate but i love music for how it makes me feel i connect with the songs and the artists and i am amazed and truly in awe of those that can write a song that touches me;surprise
2832;i asked the girls i was with if it was just me or if their eyes were feeling weird also;surprise
2866;i am feeling rather overwhelmed with all that is on my to do list;surprise
2928;i myself smiling through loving simple dialog child logic explain situation feelings it s funny;surprise
2961;i often sat back and feel amazed when the episode was over;surprise
2991;i also feel amazed happy fortunate and extremely blessed;surprise
3030;i woke up feeling dazed and confused;surprise
3086;i pick up the cards i feel a shiver go up my spine and i just feel so curious;surprise
3128;i feel overwhelmed and i want to forget it all;surprise
3167;i typically do not engage the children on my walks in this manner but today i m feeling a little curious and more silly than usual so i persist with my question;surprise
3179;i feel strange with the judge passing sentence in such a manner;surprise
3186;i have talked about it too much i feel here is a video if you are curious;surprise
3196;i forgot my passport and i realize that my stomach was feeling funny until i went to the washroom and understand that i was actually sick;surprise
3248;i feel like i need to emphasize that because i was very impressed with the color of it;surprise
3258;i feel like amazing co screenwriter roberto orcis bizarre adoration of dubya the pampered bush son was responsible for this shit even though it was carried over from the amazing spider man which orci didnt co write;surprise
3361;i don t mean this to be a serious recollection of feelings only a funny in a not funny sort of way story so let s get back to where the action begins;surprise
3432;i am also noticing that i can only handle so much incoming information or i start to feel overwhelmed;surprise
3450;i feel a strange sense of legacy;surprise
3451;i just remember feeling really dazed and amazed that it had all happened little did i know if you are about to have or have just had surgery then good luck i m sure i ve had the bad luck for everyone;surprise
3460;i overly pc in feeling a little shocked;surprise
3514;i feel your prick every night when you re dreaming about me and i she paused dramatically i am not impressed;surprise
3524;i see what the ritalin culture is doing to the children and their flias i feel shocked;surprise
3561;i volunteered for everything and wound up feeling overwhelmed and people got mad at me for not being able to meet my obligations;surprise
3601;i sat there feeling so amazed that i actually found great joy in such simple things;surprise
3603;i read the book and feel like i am travelling those journeys sometimes i am amazed sometimes i cry sometimes i laugh sometimes i yearn for what is written sometimes i remember my friends my family and the deceased and realise there is so much to do for them;surprise
3618;i feel like im giving them a story to tell to their friends and family which is funny because growing up i anticipated to be the one to travel and spontaneously meet an erratic person that swoons me with their life stories;surprise
3622;i ini i feel strange;surprise
3702;i look back on that i feel amazed that at such a young age i could just pull it together like that;surprise
3708;i can say that once again after the test drive we left feeling impressed by the cx and with steve and adams assistance;surprise
3760;i came home still feeling stunned and in need of rest i received a call from a dear elderly cousin marie to say she called an ambulance for herself and would be going to the hospital;surprise
3831;i still feel funny;surprise
3858;im getting there but i really do feel dazed and confused at the moment;surprise
3871;i go in coeur d alene im surrounded by them and it feels strange to look at them and think all these people are actually as nuts as me;surprise
3879;i feel amazed i can compress my difficulty so neatly into one sentence;surprise
3971;i stared up at him amazed by the feeling and as equally amazed that nothing else was happening;surprise
3978;i do however feel that some people would not be so shocked right;surprise
3982;i feel you might be quite amazed if ahead of you begin your diet program you continue to keep a a href http www;surprise
3987;i feel like in spite of having so many amazing things to be thankful for life is just one big demanding wave after wave and i m being tossed around like a rag doll;surprise
3995;i feel too overwhelmed to clean anything so i just let it all pile up until it makes my whole life feel like it is going to come crashing down around me and i am helpless to stop it;surprise
3996;i feel that s the one thing i ve enjoyed about tv people have the time to be shocked over kenny powers and then you have time to let go of it and love him later on;surprise
4016;i feel funny about mothers day;surprise
4043;i think and feel its funny its sad its weird but more than any of that its the truth;surprise
4073;i feel overwhelmed with the uncertainties of life the sorrows lurking about the fears eating at peoples peace the sad choices friends make the effects of those sad choices on loved ones broken relationships etc;surprise
4075;i even feel weird living with lay people again;surprise
4078;i feel weird;surprise
4080;i will cry in front of my children and feel overwhelmed without a moment s notice;surprise
4235;i feel like it s a boy i would be pretty shocked if it was so somewhere in there my gut or my brain is saying girl;surprise
4241;i were saying that we were feeling overwhelmed with our life right now;surprise
4251;i felt fine when we got there but after a short while i started feeling really funny;surprise
4253;i find myself feeling surprised and totally unworthy whenever i see her face;surprise
4260;i feel about my mommy amp me friends our friendships grew so naturally the strength of them surprised me;surprise
4263;i am feeling quite overwhelmed;surprise
4276;i care very little about impressing people unless its a person who i feel deserves being impressed;surprise
4376;i love sunshine havent had much but the feeling of it on my shoulders as i walk around the yard is amazing;surprise
4447;i always tell people my brd armor sucks since i totally feel it does so i was amazed to see some of the crap some brds wear;surprise
4451;i remember feeling bowled over and surprised by my own reaction at the tears welling up;surprise
4480;i honestly have so much research to do and have to think of so many color schemes and how to implement organizational tips for small spaces that i feel more than overwhelmed with the intensity of this project however there is the masochist in me that is incredibly excited;surprise
4496;i only have three words to describe my feelings after viewing them im not impressed;surprise
4558;i feel like i m trying to be that guy who hangs out with curious george;surprise
4585;i feel about politics and i have been very shocked at myself for going into this realm though i think that it is at this time the most important considering everything that has been going on in the world stage and in the usa;surprise
4630;i wish it was a more comforting feeling but instead it feels strange like living the memories of someone else or maybe having woken up from a long dream or a long sleep years and finding that the trees around you have grown taller;surprise
4635;i heard a song on the radio yesterday that just made me feel amazed at the lyrics;surprise
4648;i have a feeling that even if this was the only line up there jesse might make the hike all over again just to finish this amazing project;surprise
4656;i feel like im in this weird in between stage;surprise
4666;i sleep in a dreamy state waking up feeling dazed every now and then yet the cyber slut in me craves to creep up on here every evening;surprise
4694;i could just picture it with it homely feel and also having the smell of books would just be totally amazing;surprise
4712;i do feel so funny about myself because i seems to want to have good guy image although i have been keep saying wanna go clubbing but ended up did not even go once;surprise
4713;i was feeling pretty impressed with my potential new boss;surprise
4724;i feel curious to know more i think the procedure worked well;surprise
4774;i feel many readers are amazed by the many ways the whitley family has influenced hollywood and continues to influence today;surprise
4775;i know this isnt real but it feels strange to me at times;surprise
4802;i feel all funny just thinking about it;surprise
4803;i feel like if you can t admit that you ve always been a little bit weird or a little bit quirky it s just taking yourself too seriously;surprise
4807;i feel curious about this one i think i might fall in love by uncle montagues tales of terror;surprise
4830;i don t think anyone feels curious about masala movies they are just light entertainers;surprise
4855;i didnt feel surprised i didnt feel upset i didnt feel angry i didnt feel anything;surprise
4858;i remember feeling surprised and stunned that a writer of the stature and quality of lauren had read one of my books long ago;surprise
4860;i was grateful for each and every one but it still made me feel funny;surprise
4866;i beside see smiling feel very funny;surprise
4870;i knows is the boy makes her feel weird and yuuki doesnt know what to tell her;surprise
4903;i feel strange actually sitting beside some people i don t know;surprise
4919;i feel stumped something comes out of my pen and im always a little amazed by this;surprise
4936;i read through the ol feefyefo space i feel amazed at how much i could blabber and how transparent i was with my life;surprise
4980;i wander into the depths of the markets because i m feeling curious;surprise
5025;i was on the phone with tech support today and it turns out i have something in common with the guy on the phone we both have thoughts and feelings are are curious about this world;surprise
5028;i am feeling so stunned and sad about the earthquake in christchurch new zealand yesterday;surprise
5037;i feel is strange rel bookmark november a href http eagleandhammer;surprise
5038;i feel curious reserved habits was nothing else;surprise
5049;i feel amazed at the world;surprise
5080;i feel like a strange antisocial creature difficult for the cooperation;surprise
5084;i get the feeling he is telling peter many people will be surprised;surprise
5095;i feel like all i ever do anymore on the internet is bitch about my kid but seriously im amazed that so many children survive toddlerhood;surprise
5135;i don t know if i would enjoy those books now but i still remember feeling enthralled with those characters and with the amish lifestyle presented;surprise
5136;i was feeling amazed because i didnt find myself that good as what they have commented;surprise
5146;i feel curious excited and impatient;surprise
5159;i am feeling insatiably curious and i want to read and learn more about digital media and social marketing;surprise
5164;i have learned so much with him even now i still learn new things about rabbits i feel you always keep learning about them being amazed by them;surprise
5211;im still feeling very incredibly overwhelmed with the entire situation;surprise
5212;ive ever written although im not gonna reproduce it here because it is full of boring academic references and also it specifically analyses several prominent bloggers and their treatment of romantic relationships and id feel weird about putting that on the internet;surprise
5224;i woke up feeling amazed and then i realized that a dream is still a dream;surprise
5244;i also came away injury free and feeling amazing throughout the entire race;surprise
5252;i even feel surprised if its dark outside;surprise
5268;ive gotten so used to them to the extent that im actually feeling weird without them;surprise
5299;i feel pretty weird blogging about deodorant but im a bit of a deodorant snob and find it really hard to find a good one;surprise
5319;i was talking to my district leader elder hill last night and was explaining to him some of my concerns such as not seeing the fruits of our efforts not having baptized anyone yet and just plain feeling like i have so many problems and weaknesses that its not even funny;surprise
5360;i still blush and feel shocked about the recreational activities that i sometimes unwillingly and willingly hear sometimes;surprise
5386;i feel lola falls under this strange demographic;surprise
5400;i have chose for myself that makes me feel amazing;surprise
5412;i feel that they were just as surprised to be sharing my dream as i was to have them sharing it;surprise
5461;i feel almost weird that someone i didnt know has impacted me emotionally these last few days;surprise
5469;i like to do things that leave others feeling surprised and delighted;surprise
5479;i lose friends because they apparently dont like that i tell people how i feel its funny how that works;surprise
5492;i gotta say im feeling pretty impressed with how everything ended up considering my total dollars dropped totaled and i have three small canvases to play with display with;surprise
5507;i have a plan with friends and a good support system of neighbors to keep me company but it still feels really weird;surprise
5530;i remember feeling equally dazed and road rollered when the twins came home and that was with the pee and poo all neatly tied up in diapers;surprise
5542;i do i feel very impressed with the one who made the story;surprise
5553;im still feeling the effects today in that my body isnt particularly impressed by me at the moment and it feels a but stressed out trying to sort itself out;surprise
5569;i feel like in a way i kinda shocked my body by changing my calorie intake;surprise
5590;i have been feeling overwhelmed and time poor;surprise
5678;im a creature of habit and major life changes always leave me feeling sort of dazed confused and occasionally sad and grumpy;surprise
5682;i feel a bit overwhelmed in some areas so i may come off as whiney;surprise
5747;i just feel a weird vibe;surprise
5783;i shrugged not feeling particularly enthralled about the educational tour and feeling guilty that i would prefer to stay at home and play house;surprise
5821;i talk to my real estate agent for some advice on how to proceed not that i feel she will offer much again im not too impressed with her;surprise
5840;im feeling a bit overwhelmed tonight and not really for any good reason;surprise
5856;i do remember the feel of the book and being incredibly impressed with it and knowing that ill have to read it again;surprise
5867;i feel amazed how this sh it things happened to me;surprise
5877;im lacking in the accessory department but i have a feeling that once i actually start putting the things i own in one place i might be a little more surprised at what i find;surprise
5907;i have no idea if this is interesting for anybody to read but i found myself smiling like a fool laughing at some points and feeling overwhelmed with gratefulness;surprise
5918;i feel that this is something i m curious about as someone who listens to current music but i realized that songs become weird and their unique vibe gets lost when non korean songs are translated into korean;surprise
5931;i just be feeling curious about a few tings;surprise
5987;i still feel amazed by its beauty diversity and joie de vivre;surprise
5992;i did in fact feel very strange;surprise
6052;i feeling strange energies;surprise
6106;i feel a little funny discussing the realness of a portrayal of a condition ive never experienced;surprise
6108;i haven t seen her since they broke up but now i m in this class and she is here waving at me so i go and sit next to her and get out my stuff and talk to her but i feel really strange about it because she cheated on my friend which i really should have mentioned before;surprise
6157;i had a hard time focusing on my life and walked around feeling dazed and confused;surprise
6160;i feel only a little bit weird about making decisions without him;surprise
6161;i feel impressed to discuss sin again though i do not know why;surprise
6182;i was feeling like a shocked rat in a skinner box experiment;surprise
6224;i admire makes me feel amazed at my life;surprise
6233;i just remember feeling so amazed that this little person and i am only a child was my new brother;surprise
6238;i can remember i feel especially impressed to start fresh new and remove clutter;surprise
6329;i feel surprised when i looked new;surprise
6352;i dont want to put to much pressure on myself but i feel like i could make the most amazing year ever;surprise
6359;i have to care about and care for people with disabilities who are targeted by sensationalist media reports as well as at the same time feel the sorrow i do for the parents family members and community in newtown connecticut that is stunned by the events of today;surprise
6381;i have also been feeling completely overwhelmed and so incredibly unappreciated;surprise
6382;i will be honest it did feel a little strange being in the company of such greatness;surprise
6431;i got contact lenses the other day and am trying to get used to them i feel like my face looks really weird without glasses and its so strange when i see myself from a distance;surprise
6440;i am just waking up with not nearly enough sleep and feeling dazed;surprise
6442;i kept thinking about how awesome i would feel afterwards remembering how amazing i felt after my emotional spin class the previous night;surprise
6503;i thought about it a lot this weekend because i watched the fault in our stars which is about two kids who have cancer so that made me feel really weird and anxious;surprise
6526;i am feeling a little overwhelmed but ive been given some amazing tools met some wonderfully creative fun and crazy people and was reminded that i have a voice that has been silent for too long;surprise
6541;i was mightily nervous given that i crashed and burned at this point last time and i still remember feeling shocked at how hard i found the x second runs;surprise
6601;i feel like im getting there i have to admit i was stunned when i realized my list my entire laundry list of here to for impossible pie in the sky dreams;surprise
6625;i did not feel any emotion or was deeply saddened or stunned for that matter;surprise
6646;i accidentally feel the mood and jumped into blogspot then what surprised me was for over views lol;surprise
6692;i remember looking out car windows as i was passengered around those first few months and feeling vaguely surprised as i was already deep in shock at how different things looked;surprise
6726;i know that i will always feel a little bit strange and out of place in the academy;surprise
6744;i feel weird knowing mine died when i wasn t around;surprise
6790;i actually prefer peep toe shoes because of it because then i wont notice that my shoes feel funny;surprise
6803;i started feeling dazed;surprise
6841;im feeling more than a little dazed;surprise
6850;im not sure how i feel im shocked honestly;surprise
6938;i say walking away and shaking my head feeling a little dazed to get the drinks;surprise
6947;i still feel a little bit funny when i discover his fb damn it;surprise
6949;i might go out of existance i smile pick up my pen and fill the page with the things that you say the thoughts you obtain the moments you refrain far away its cause youre going insane and suddenly im left afraid because im not feeling that way instead im amazed why you gotta be that way;surprise
6959;i feel a little overwhelmed this weekend i went out to the beach and just stood in the surf watching listening and feeling the waves come in and out;surprise
6971;i couldnt help but feel a little curious about it though which is what finally led me to plan to rent it this evening;surprise
6976;i feel a bit surprised that motion capture films dont seem to me to have the visual richness and detail that full cgi films have;surprise
6981;i feel funny cause bonka neva thanked me fa his awards;surprise
6997;im feeling a little overwhelmed;surprise
7000;i notice i jump when i feel anything in my hair which i cant say im surprised about;surprise
7007;i think many may dislike it as i do and still feel they should be impressed by it the educated and privileged may now be more susceptible to the mass media than the larger public they re certainly easier to reach;surprise
7023;ive suffered from eating disorders and depression since i was and i feel amazed to say that i consider myself recovered now;surprise
7088;im beginning to feel my way around the systems and im very impressed with the overall level of automation and control that goes into making memset what it is;surprise
7122;i feel when you should walk in to see the film you should be pleasantly surprised with the film s inherent connect;surprise
7213;i still feel a bit stunned and i suppose i should be racked with regret and shame;surprise
7221;i do like to think that in the near future ill feel the urge to write up an album or two that has really impressed me most likely a href http handsomefamily;surprise
7255;i feel less weird about my premature graying that started;surprise
7283;i feel shocked that my photo was chosen as the best photo of the week;surprise
7296;i have no relief from my aches i am feeling just a tad overwhelmed by our current living situation and i am still unemployed and getting really really antsy about finding work;surprise
7399;i would feel weird having my dads hand on my stomach for any amount of time especially for several minutes while he waits to feel taryn jumping around in there;surprise
7425;i would say to mira i am feeling really curious about what its like to live in a castle and im looking it up on my computer;surprise
7434;i am feeling a little overwhelmed like i do every year at this time at the speed each holiday season creeps up on us;surprise
7487;im feeling amazing because im answering these questions from new york so life is good;surprise
7489;i feel as if i am on hold somehow that ive been given a time for contemplation consolidation and it is a most curious feeling;surprise
7494;i feel dazed and unsure of a world in which dying young and disasters that sacrifice so many lives in one swath happen let alone happen with frequency great enough to make me cringe;surprise
7509;i stood kind of dumbfounded looking around feeling culture shocked;surprise
7511;i feel an urgency to introduce readers to the amazing and touching story of anna iya and erik;surprise
7548;i feel somewhat surprised when reading george hobica s discussion on usa today;surprise
7578;i feel a remembrance of the strange by justin aryiku falls into the latter category;surprise
7579;i start an aimless internet search when im feeling curious;surprise
7628;i feel in retrospect if i have the ability to think back that all this history stuff and the miles upon miles of newsprint that has carried my feature articles impressed and impacted the readership the way it was intended;surprise
7641;im feeling overwhelmed;surprise
7677;i feel very shocked i have never expected that would happen to me;surprise
7685;im still not sure why reilly feels the need to be so weird;surprise
7697;i am feeling a bit overwhelmed tired anxious etc;surprise
7717;i feel like falling in love with her is part of being amazed at how she makes our family so much better she tells the advocate;surprise
7743;i am feeling amazed to see what god is doing new friends who aren t only amazing but get me who don t run and hide in a dark room unless i am there and they are joining me;surprise
7790;i usually doubt my self at this point as i feel i should be that amazing housewife who motors all day and has a list of things they can tell theyre husband they did all day while they were at work and i was at home;surprise
7796;i am feeling a curious sense of relief a lightness that i never thought possible back when sex seemed to be the most desirable of desires and the ultimate act of self validation;surprise
7818;i feel so amazed seeing chiangmai;surprise
7870;im not quite sure why and she treated me well but the entire time i was there i got this distinct feeling that she wasnt impressed;surprise
7874;i admit to feeling bitterly surprised at how rapidly they have thrown in the towel;surprise
7877;i remember frequently feeling surprised by the statistic that of the population are hsps given that i almost never came across anyone who was an hsp;surprise
7911;i hope you keep handing out books of mormon to those you feel impressed to give them to;surprise
7961;i bit my lip as he slightly whispered this will feel weird tell me if i hurt you;surprise
8003;i get the feeling that i impressed ecker;surprise
8060;i was a tad more jaded stopping the booth rep from reciting his memorized spiel by mentioning that i had been following the unit for a year but came away feeling pretty impressed;surprise
8078;i have a curious feeling that benjamin button is the next forest gump curious case of benjamin button review a href http stayviolation;surprise
8109;i feel that chris is not too impressed with my stuff so naturally i hate myself and want on the next plane back to seattle as soon before the showcase as possible;surprise
8122;i just really feel so curious about whether you and dad have ever been bitten;surprise
8159;i am not a catholic i certainly don t feel it is my place to take sides on this issue but i am curious how the leadership of the catholic church will mesh with its own people over these issues in the coming years;surprise
8194;i will make you feel amazing tonight i need you no;surprise
8197;i feel about it has me shocked;surprise
8244;i just posted when i reached to someones facebook that i used to think as one of my best friends which makes me feel so shocked and frustrated;surprise
8250;i remember last summer feeling so overwhelmed;surprise
8323;i feel amazed to say that i am doing what i only dreamed of doing again;surprise
8357;i do when i m feeling a bit weird to reground myself;surprise
8409;i remember feeling shocked and somewhat embarrassed that the adf unity rite i was consecrated in was so much about me;surprise
8417;i see lyman i just feel more and more amazed about us;surprise
8430;i mean architectural wonders just make you feel wowed impressed and you just end up really respecting the people who built them but nature just makes you feel so much more aware of the world around you without actually actively doing anything because they were always there you know;surprise
8434;i know so many people rave about it that i m feeling a bit weird;surprise
8573;i was cut into feeling pain that shocked me;surprise
8629;i am not desperate for a job and don t really feel impressed to go find a job because i have one img src http randythomas;surprise
8647;i will tell ya i have been following a very norma inspired diet for a week tomorrow and i feel amazing;surprise
8665;i feel quite surprised that i have a fairly significant amount of blog readers;surprise
8686;im feeling awfully overwhelmed by everything right now the demands from mother the needs of my family trying to shield my dear husband from as much as possible the list goes on and on;surprise
8693;i feel amazing doctor;surprise
8727;i won t say that i didn t feel any fear because i did but i was surprised at how calm i was;surprise
8753;i actually found myself resenting the song for making me feel which is weird for me because i used to play guitar and sing in church like all the time and music was a huge part of my life in college and high school;surprise
8797;i had on my plate without the stress of feeling completely overwhelmed;surprise
8864;i feel like i should admit to her how many times a week i make pasta for dinner and that i never make my bed at school so shes less impressed or something;surprise
8874;i don t have the longevity or experience in the field to get a feeling for that and i m curious as to what the speculation might be;surprise
8978;i even like to play with my negative feelings by becoming curious;surprise
8993;im feeling is funny because its totally unnecessary;surprise
9046;i sat down at the table for lunch after proclaiming how amazing i felt considering i started to feel weird;surprise
9073;i am trying not to feel so overwhelmed with everything i am trying to make small steps;surprise
9172;i feel shocked robbed and shaken of everything i thought i wanted;surprise
9194;i was feeling amazing so i was disappointed when my lab work in december came back the same way it did the previous year overall it was good but i did not have enough protein in my diet;surprise
9271;i may give up much sooner than my days if i feel like im gonna die but ive been curious for a while;surprise
9330;i have stopped feeling surprised;surprise
9381;i went to work but i feel stunned and numb;surprise
9392;i feel strange pangs of loneliness or emptiness bubble up;surprise
9435;i wonder why i feel surprised that things are different than i expected;surprise
9436;i remembered seeing these pieces and feeling so impressed by them but seeing them again i was surprised i was blinded by my memories;surprise
9529;i just feel curious of what my mission is to be;surprise
